PlayerID,Age,Gender,Location,GameGenre,PlayTimeHours,InGamePurchases,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel
150000,26,Female,Europe,Simulation,38.21,1,Easy,16,143.29,86,44,High
150001,46,Male,Other,Action,0.88,0,Easy,1,52.80,1,0,Low
150002,34,Male,Europe,Action,53.62,1,Medium,20,160.86,92,65,High
150003,30,Female,Asia,Action,11.02,0,Easy,8,82.65,20,9,Medium
150004,21,Male,USA,Action,45.67,0,Medium,16,171.26,76,40,High
150005,21,Male,USA,Sports,43.89,1,Easy,16,164.59,70,38,High
150006,18,Male,Europe,Sports,59.28,0,Easy,20,177.84,100,48,High
150007,40,Male,Europe,Strategy,25.95,1,Easy,14,111.21,44,19,High
150008,30,Male,Asia,Sports,22.2,1,Medium,12,111.00,38,27,High
150009,33,Male,Europe,Action,21.96,1,Medium,14,94.11,43,25,High
150010,15,Female,Europe,Strategy,33.73,0,Hard,17,119.05,63,34,High
150011,48,Male,USA,Strategy,1.29,1,Hard,2,38.70,2,0,Low
150012,38,Male,Europe,Simulation,9.28,0,Medium,7,79.54,19,9,Medium
150013,22,Male,Other,RPG,27.66,0,Medium,10,165.96,43,29,High
150014,22,Male,USA,Simulation,35.38,1,Medium,19,111.73,58,44,High
150015,22,Female,Europe,Strategy,41.23,1,Medium,18,137.43,57,43,High
150016,24,Male,Other,Sports,49.84,1,Medium,20,149.52,74,38,High
150017,29,Female,Asia,RPG,47.11,0,Medium,19,148.77,100,68,High
150018,27,Male,Europe,Strategy,29.01,1,Medium,12,145.05,49,22,High
150019,24,Male,Europe,RPG,32.73,0,Medium,13,151.06,45,23,High
150020,31,Male,Asia,Strategy,27.67,0,Medium,18,92.23,33,20,High
150021,20,Female,Other,Simulation,33.08,1,Easy,14,141.77,44,31,High
150022,24,Male,Other,RPG,28.92,1,Easy,16,108.45,46,34,High
150023,25,Male,Other,Strategy,37.95,0,Hard,18,126.50,69,53,High
150024,27,Male,Other,RPG,16.7,0,Easy,11,91.09,28,13,High
150025,36,Female,Asia,Strategy,5.91,0,Easy,4,88.65,11,6,Medium
150026,22,Male,Other,Strategy,17.77,1,Hard,11,96.93,27,18,High
150027,28,Male,Asia,RPG,44.72,1,Medium,19,141.22,97,68,High
150028,30,Male,Other,Sports,31.73,1,Medium,11,173.07,55,33,High
150029,18,Male,Asia,Strategy,34.66,0,Medium,16,129.98,68,28,High
150030,31,Male,Other,Sports,38.57,1,Easy,17,136.13,63,45,High
150031,21,Male,Asia,Strategy,34.01,1,Easy,12,170.05,70,52,High
150032,18,Female,Europe,Strategy,20.71,0,Hard,10,124.26,29,20,High
150033,46,Male,Other,Strategy,5.9,0,Easy,5,70.80,8,6,Medium
150034,47,Female,Other,Sports,6.85,0,Medium,7,58.71,9,7,Medium
150035,37,Male,Asia,Strategy,9.81,0,Easy,9,65.40,21,10,Medium
150036,24,Male,Europe,Sports,23.04,1,Easy,15,92.16,40,18,High
150037,19,Male,Europe,Simulation,37.95,1,Hard,15,151.80,57,25,High
150038,32,Male,Asia,RPG,32.42,0,Hard,11,176.84,57,38,High
150039,27,Male,USA,Sports,29.56,0,Medium,11,161.24,55,39,High
150040,20,Male,Other,Action,21.92,1,Hard,13,101.17,32,21,High
150041,28,Female,Other,Strategy,47.66,1,Hard,17,168.21,87,54,High
150042,16,Male,Europe,RPG,40.43,0,Hard,16,151.61,70,44,High
150043,43,Female,Other,RPG,49.11,1,Hard,17,173.33,81,34,High
150044,23,Male,USA,Simulation,26.22,0,Hard,11,143.02,36,18,High
150045,32,Male,Asia,RPG,32.64,1,Easy,17,115.20,67,31,High
150046,24,Male,Asia,RPG,44.57,1,Easy,18,148.57,74,43,High
150047,29,Male,Asia,Action,8.4,0,Hard,7,72.00,7,2,Medium
150048,29,Female,Other,Action,5.84,0,Easy,4,87.60,11,5,Medium
150049,22,Female,Europe,Action,29.7,0,Medium,10,178.20,56,42,High
150050,47,Male,USA,Action,5.16,1,Hard,4,77.40,11,4,Medium
